id_lo,id_mid,id_hi,n_min,n_max,n_med,prop_max
0,146,1534,6,86,10,0.8431372549019608
0,176,1227,13,84,17,0.7368421052631579
0,192,1088,0,14,3,0.8235294117647058
0,688,1307,5,90,15,0.8181818181818182
1,502,1157,10,61,35,0.5754716981132075
1,1661,1753,3,10,4,0.5882352941176471
2,77,746,4,90,18,0.8035714285714286
2,1207,1541,0,16,1,0.9411764705882353
3,64,425,1,100,9,0.9090909090909091
3,231,1158,0,14,3,0.8235294117647058
3,293,1367,9,75,25,0.6880733944954128
3,313,1685,0,12,5,0.7058823529411765
3,605,1184,0,12,1,0.9230769230769231
3,779,1446,2,74,22,0.7551020408163265
4,1453,1719,26,45,43,0.39473684210526316
5,208,491,6,69,29,0.6634615384615384
5,876,1275,8,93,9,0.8454545454545455
6,223,1427,0,10,4,0.7142857142857143
6,224,528,3,9,6,0.5
6,266,1551,3,88,19,0.8
6,741,1233,0,14,2,0.875
6,1220,1279,9,70,29,0.6481481481481481
6,1358,1762,1,6,6,0.46153846153846156
8,101,113,5,98,13,0.8448275862068966
8,414,1675,1,9,4,0.6428571428571429
8,906,1574,0,13,3,0.8125
8,967,1763,1,12,4,0.7058823529411765
8,1192,1598,7,94,12,0.831858407079646
8,1667,1710,8,58,42,0.5370370370370371
9,183,1793,0,10,6,0.625
10,290,664,10,65,33,0.6018518518518519
10,1121,1155,15,63,33,0.5675675675675675
10,1240,1557,5,97,6,0.8981481481481481
11,50,1500,3,10,3,0.625
11,59,564,26,51,33,0.4636363636363636
11,125,503,31,45,38,0.39473684210526316
11,336,1329,8,86,17,0.7747747747747747
11,370,554,0,15,2,0.8823529411764706
11,588,991,0,14,1,0.9333333333333333
11,817,1007,0,15,3,0.8333333333333334
12,992,1656,2,105,5,0.9375
12,1402,1723,1,11,3,0.7333333333333333
12,1465,1484,32,42,32,0.39622641509433965
12,1799,1805,13,87,13,0.7699115044247787
13,76,1042,0,13,5,0.7222222222222222
13,124,1069,0,101,3,0.9711538461538461
13,312,993,6,97,8,0.8738738738738738
13,990,1502,1,8,1,0.8
14,131,931,6,58,40,0.5576923076923077
14,180,1285,11,57,42,0.5181818181818182
14,323,500,2,13,4,0.6842105263157895
14,925,1782,12,81,16,0.7431192660550459
15,295,732,1,10,5,0.625
15,380,1167,2,9,7,0.5
15,408,1484,3,7,6,0.4375
16,312,845,7,54,53,0.47368421052631576
16,430,431,5,6,5,0.375
16,1286,1364,0,11,5,0.6875
17,1122,1539,0,78,30,0.7222222222222222
18,244,1271,7,86,10,0.8349514563106796
18,323,576,8,63,43,0.5526315789473685
18,866,1493,15,73,20,0.6759259259259259
18,989,1692,2,11,3,0.6875
19,1030,1841,5,84,20,0.7706422018348624
19,1103,1695,1,102,1,0.9807692307692307
20,385,393,12,76,14,0.7450980392156863
20,664,1705,1,10,9,0.5
20,727,1340,6,65,30,0.6435643564356436
21,64,1297,12,83,15,0.7545454545454545
21,202,1457,1,93,16,0.8454545454545455
22,84,180,9,63,29,0.6237623762376238
22,174,1192,2,12,4,0.6666666666666666
22,843,1110,0,118,1,0.9915966386554622
23,451,1270,11,74,19,0.7115384615384616
23,524,1795,14,48,47,0.44036697247706424
23,664,1633,5,8,6,0.42105263157894735
24,128,1439,0,13,0,1
24,203,1759,25,61,28,0.5350877192982456
24,583,1783,7,83,20,0.7545454545454545
25,909,1091,0,15,3,0.8333333333333334
26,64,798,1,15,2,0.8333333333333334
26,92,1238,0,15,0,1
26,118,218,1,15,3,0.7894736842105263
26,204,309,7,85,8,0.85
26,563,1618,0,11,7,0.6111111111111112
26,734,984,2,12,3,0.7058823529411765
27,125,412,0,96,13,0.8807339449541285
27,152,701,0,11,7,0.6111111111111112
27,258,1553,0,13,1,0.9285714285714286
27,307,1351,1,13,2,0.8125
27,756,1361,1,103,3,0.9626168224299065
27,771,1568,7,71,30,0.6574074074074074
27,875,1147,0,13,4,0.7647058823529411
28,130,1570,2,104,7,0.9203539823008849
