subject_id,cumprop_cut_lag,thx_lo,thx_hi
0,9,2360,5000
1,2,320,380
2,5,620,780
3,7,1040,1460
4,1,260,300
5,7,1040,1460
6,6,800,1020
7,10,5060,43760
8,3,400,480
9,6,800,1020
10,1,260,300
11,4,500,600
12,9,2360,5000
13,10,5060,43760
14,8,1480,2340
15,2,320,380
16,1,260,300
17,9,2360,5000
18,5,620,780
19,2,320,380
20,9,2360,5000
21,4,500,600
22,10,5060,43760
23,4,500,600
24,1,260,300
25,1,260,300
26,2,320,380
27,5,620,780
28,10,5060,43760
29,1,260,300
30,8,1480,2340
31,4,500,600
32,9,2360,5000
33,2,320,380
34,5,620,780
35,6,800,1020
36,1,260,300
37,3,400,480
38,2,320,380
39,5,620,780
40,4,500,600
41,10,5060,43760
42,6,800,1020
43,8,1480,2340
44,7,1040,1460
45,8,1480,2340
46,1,260,300
47,5,620,780
48,7,1040,1460
49,2,320,380
50,4,500,600
51,8,1480,2340
52,9,2360,5000
53,5,620,780
54,1,260,300
55,9,2360,5000
56,7,1040,1460
57,5,620,780
58,2,320,380
59,4,500,600
60,6,800,1020
61,3,400,480
62,9,2360,5000
63,7,1040,1460
64,9,2360,5000
65,7,1040,1460
66,1,260,300
67,2,320,380
68,1,260,300
69,6,800,1020
70,1,260,300
71,3,400,480
72,9,2360,5000
73,7,1040,1460
74,10,5060,43760
75,1,260,300
76,1,260,300
77,5,620,780
78,1,260,300
79,9,2360,5000
80,10,5060,43760
81,10,5060,43760
82,5,620,780
83,1,260,300
84,1,260,300
85,1,260,300
86,8,1480,2340
87,6,800,1020
88,8,1480,2340
89,1,260,300
90,4,500,600
91,4,500,600
92,2,320,380
93,6,800,1020
94,7,1040,1460
95,4,500,600
96,6,800,1020
97,6,800,1020
98,1,260,300
99,3,400,480
100,7,1040,1460
101,8,1480,2340
102,4,500,600
103,6,800,1020
104,10,5060,43760
105,8,1480,2340
106,2,320,380
107,6,800,1020
108,5,620,780
109,3,400,480
110,2,320,380
111,8,1480,2340
112,6,800,1020
113,3,400,480
114,6,800,1020
115,10,5060,43760
116,9,2360,5000
117,6,800,1020
118,10,5060,43760
119,4,500,600
120,9,2360,5000
121,1,260,300
122,5,620,780
123,5,620,780
124,6,800,1020
125,2,320,380
126,9,2360,5000
127,5,620,780
128,7,1040,1460
129,10,5060,43760
130,10,5060,43760
131,8,1480,2340
132,7,1040,1460
133,7,1040,1460
134,2,320,380
135,5,620,780
136,9,2360,5000
137,1,260,300
138,2,320,380
139,3,400,480
140,3,400,480
141,5,620,780
142,10,5060,43760
143,8,1480,2340
144,5,620,780
145,3,400,480
146,10,5060,43760
147,5,620,780
148,8,1480,2340
149,2,320,380
150,6,800,1020
151,7,1040,1460
152,10,5060,43760
153,2,320,380
154,5,620,780
155,10,5060,43760
156,3,400,480
157,2,320,380
158,8,1480,2340
159,8,1480,2340
160,1,260,300
161,1,260,300
162,8,1480,2340
163,8,1480,2340
164,3,400,480
165,4,500,600
166,10,5060,43760
167,8,1480,2340
168,6,800,1020
169,3,400,480
170,6,800,1020
171,1,260,300
172,4,500,600
173,1,260,300
174,2,320,380
175,7,1040,1460
176,10,5060,43760
177,7,1040,1460
178,3,400,480
179,8,1480,2340
180,6,800,1020
181,5,620,780
182,7,1040,1460
183,8,1480,2340
184,10,5060,43760
185,2,320,380
186,4,500,600
187,1,260,300
188,10,5060,43760
189,5,620,780
190,7,1040,1460
191,6,800,1020
192,5,620,780
193,6,800,1020
194,3,400,480
195,6,800,1020
196,8,1480,2340
197,7,1040,1460
198,7,1040,1460
199,1,260,300
200,6,800,1020
201,3,400,480
202,3,400,480
203,9,2360,5000
204,5,620,780
205,7,1040,1460
206,6,800,1020
207,6,800,1020
208,3,400,480
209,1,260,300
210,8,1480,2340
211,10,5060,43760
212,10,5060,43760
213,9,2360,5000
214,1,260,300
215,8,1480,2340
216,10,5060,43760
217,8,1480,2340
218,1,260,300
219,7,1040,1460
220,4,500,600
221,8,1480,2340
222,3,400,480
223,10,5060,43760
224,1,260,300
225,5,620,780
226,9,2360,5000
227,10,5060,43760
228,7,1040,1460
229,1,260,300
230,7,1040,1460
