,triplet_id,correct_avg,correct_id,delta,Accuracy Avg. Model,id_lo,id_mid,id_hi,prop_max,n_per_triplet,is_improvement,prop_max_rounded
0,1,0.8602150537634409,0.8387096774193549,-0.021505376344086002,8,0,146,1534,0.8431372549019608,102,0,0.8
1,2,0.78,0.75,-0.030000000000000027,7,0,176,1227,0.7368421052631579,114,0,0.7
2,3,0.6666666666666666,0.8333333333333334,0.16666666666666674,6,0,192,1088,0.8235294117647058,17,1,0.8
3,4,0.803921568627451,0.803921568627451,0.0,8,0,688,1307,0.8181818181818182,110,1,0.8
4,5,0.4,0.6181818181818182,0.21818181818181814,3,1000,1168,1215,0.4051724137931034,116,1,0.4
5,6,0.6,0.6,0.0,5,1000,1639,1799,0.8571428571428571,14,1,0.9
6,7,0.4444444444444444,0.5050505050505051,0.06060606060606066,4,100,1360,1819,0.4476190476190476,105,1,0.4
7,8,0.7731958762886598,0.8041237113402062,0.030927835051546393,7,1002,1046,1707,0.7850467289719626,107,1,0.8
8,9,0.9479166666666666,0.9479166666666666,0.0,9,1002,1429,1616,0.9537037037037036,108,1,1.0
9,10,0.8571428571428571,0.8571428571428571,0.0,8,1003,1179,1756,0.9285714285714286,14,1,0.9
10,11,0.16666666666666666,0.5,0.33333333333333337,1,100,353,412,0.7777777777777778,18,1,0.8
11,12,0.5865384615384616,0.7884615384615384,0.20192307692307687,5,1004,1548,1566,0.5535714285714286,112,1,0.6
12,13,0.4,0.5523809523809524,0.1523809523809524,3,1006,1240,1674,0.4196428571428571,112,1,0.4
13,14,0.9090909090909091,1.0,0.09090909090909094,9,1006,1337,1849,0.9411764705882352,17,1,0.9
14,15,0.34065934065934067,0.6153846153846154,0.27472527472527475,3,1007,1228,1728,0.5882352941176471,102,1,0.6
15,16,0.875,0.875,0.0,8,1008,1434,1748,0.5625,16,1,0.6
16,17,0.23232323232323232,0.5454545454545454,0.3131313131313131,2,100,979,1608,0.4601769911504424,113,1,0.5
17,18,0.75,0.75,0.0,7,1010,1151,1354,0.6470588235294118,17,1,0.6
18,19,0.41,0.63,0.22000000000000003,4,101,1003,1509,0.5585585585585585,111,1,0.6
19,20,0.6041666666666666,0.6041666666666666,0.0,6,10,1121,1155,0.5675675675675675,111,1,0.6
20,21,0.8,0.8,0.0,7,101,1450,1666,0.9,10,1,0.9
21,22,0.3,0.6,0.3,2,1012,1326,1401,0.5625,16,1,0.6
22,23,0.35789473684210527,0.3894736842105263,0.03157894736842104,3,101,236,991,0.3490566037735849,106,1,0.3
23,24,0.8888888888888888,0.8888888888888888,0.0,8,10,1240,1557,0.8981481481481481,108,1,0.9
24,25,0.6,0.6,0.0,5,1014,1390,1777,0.7857142857142857,14,1,0.8
25,26,0.5913978494623656,0.6774193548387096,0.08602150537634401,5,1014,1502,1732,0.6396396396396397,111,1,0.6
26,27,1.0,1.0,0.0,9,1017,1325,1550,0.9285714285714286,14,1,0.9
27,28,0.75,0.75,0.0,7,1019,1032,1457,0.5,20,1,0.5
28,29,0.5051546391752577,0.7319587628865979,0.22680412371134018,5,1021,1075,1612,0.5377358490566038,106,1,0.5
29,30,0.0,0.6,0.6,0,1021,1298,1494,0.6428571428571429,14,1,0.6
30,31,0.25742574257425743,0.594059405940594,0.3366336633663366,2,1023,1390,1568,0.5446428571428571,112,1,0.5
31,32,0.5,0.75,0.25,4,1024,1471,1572,0.5384615384615384,13,1,0.5
32,33,1.0,1.0,0.0,9,102,591,1133,0.9906542056074766,107,1,1.0
33,34,0.5934065934065934,0.5714285714285714,-0.02197802197802201,5,1028,1384,1573,0.5922330097087378,103,0,0.6
34,35,0.3235294117647059,0.5,0.1764705882352941,3,1028,1411,1460,0.5283018867924528,106,1,0.5
35,36,0.3229166666666667,0.65625,0.3333333333333333,3,10,290,664,0.6018518518518519,108,1,0.6
36,37,0.6666666666666666,0.6666666666666666,0.0,6,1029,1113,1120,0.4666666666666667,15,1,0.5
37,38,0.75,0.75,0.0,7,1031,1416,1828,0.631578947368421,19,1,0.6
38,39,0.40404040404040403,0.48484848484848486,0.08080808080808083,4,1032,1220,1378,0.4035087719298245,114,1,0.4
39,40,0.8,0.8,0.0,7,103,230,1063,0.631578947368421,19,1,0.6
40,41,0.5978260869565217,0.5652173913043478,-0.03260869565217395,5,1033,1330,1358,0.6261682242990654,107,0,0.6
41,42,1.0,1.0,0.0,9,1034,1147,1658,1.0,17,1,1.0
42,43,0.8172043010752689,0.8172043010752689,0.0,8,1034,1252,1821,0.8095238095238095,105,1,0.8
43,44,0.7171717171717171,0.7373737373737373,0.02020202020202022,7,103,487,1435,0.7339449541284404,109,1,0.7
44,45,0.6703296703296703,0.7142857142857143,0.04395604395604402,6,1038,1479,1828,0.6952380952380952,105,1,0.7
45,46,0.5684210526315789,0.6526315789473685,0.08421052631578951,5,1038,1599,1827,0.5523809523809524,105,1,0.6
46,47,0.7641509433962265,0.7641509433962265,0.0,7,1039,1216,1247,0.7727272727272727,110,1,0.8
47,48,0.5700934579439252,0.6355140186915887,0.06542056074766356,5,1039,1305,1311,0.5486725663716814,113,1,0.5
48,49,0.48514851485148514,0.6039603960396039,0.1188118811881188,4,1041,1409,1586,0.4954954954954955,111,1,0.5
49,50,0.6666666666666666,0.6979166666666666,0.03125,6,104,1288,1561,0.6476190476190476,105,1,0.6
50,51,0.5053763440860215,0.45161290322580644,-0.05376344086021506,5,104,1381,1795,0.495049504950495,101,0,0.5
51,52,0.5833333333333334,0.6041666666666666,0.02083333333333326,5,104,1500,1619,0.5555555555555556,108,1,0.6
52,53,0.6067415730337079,0.5955056179775281,-0.011235955056179803,6,104,390,1490,0.5436893203883495,103,0,0.5
