Measure;Preamble;Question;Options;Reverse_coded;Attention_check;ind
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";1. My heart beats fast.;almost never,occasionally,often,almost always;0;0;0
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";2. My muscles are tense.;almost never,occasionally,often,almost always;0;0;1
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";3. I feel agonized over my problems.;almost never,occasionally,often,almost always;0;0;2
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";4. I think that others won't approve of me.;almost never,occasionally,often,almost always;0;0;3
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";5. I feel like I am missing out on things because I cannot make up my mind soon enough.;almost never,occasionally,often,almost always;0;0;4
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";6. I feel dizzy.;almost never,occasionally,often,almost always;0;0;5
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";7. My muscles feel weak.;almost never,occasionally,often,almost always;0;0;6
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";8. I feel trembly and shaky.;almost never,occasionally,often,almost always;0;0;7
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";9. I picture some future misfortune.;almost never,occasionally,often,almost always;0;0;8
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";10. I know how to read and write.;almost never,occasionally,often,almost always;0;1;9
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";11. I can't get some thought out of my mind.;almost never,occasionally,often,almost always;0;0;10
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";12. I have trouble remembering things.;almost never,occasionally,often,almost always;0;0;11
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";13. My face feels hot.;almost never,occasionally,often,almost always;0;0;12
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";14. I think that the worst will happen.;almost never,occasionally,often,almost always;0;0;13
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";15. My arms and legs feel stiff.;almost never,occasionally,often,almost always;0;0;14
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";16. My throat feels dry.;almost never,occasionally,often,almost always;0;0;15
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";17. I keep busy to avoid uncomfortable thoughts.;almost never,occasionally,often,almost always;0;0;16
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";18. I cannot concentrate without irrelevant thoughts intruding.;almost never,occasionally,often,almost always;0;0;17
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";19. My breathing is fast and shallow.;almost never,occasionally,often,almost always;0;0;18
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";20. I worry that I cannot control my thoughts as well as I would like to.;almost never,occasionally,often,almost always;0;0;19
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";21. I have butterflies in the stomach.;almost never,occasionally,often,almost always;0;0;20
STICSA_T;"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class=""""bold_text"""">in general</span>, the statement is true of you.";22. My palms feel clammy.;almost never,occasionally,often,almost always;0;0;21
IUS;Please select the answer that best corresponds to how much you agree with each item.;1. Unforeseen events upset me greatly.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;0
